opportunity,sim_type,rows_affected,actual_revenue_total,simulated_revenue_total,revenue_delta,revenue_delta_pct,actual_revenue_affected,sim_revenue_affected,actual_units_affected,sim_units_affected,unit_delta,unit_delta_pct,avg_discount_before,avg_discount_after
OPP_10: Reallocate Festival Spend to Normal Periods,reallocation,30600,2174510366.99,2499260406.38,324750039.39,14.9344,2174510366.99,2499260406.38,970188,1017992.34,47804.34,4.9273,42.53,37.07
OPP_09: Inelastic Segments to Optimal Discount,discount_change,5011,2174510366.99,2340485238.59,165974871.6,7.6327,473585335.82,639560207.42,197912,174936.26,-22975.74,-11.6091,54.72,30.76
OPP_05: Age Low-Sensitivity to 20% (Step 3),discount_change,6501,2174510366.99,2293863784.4,119353417.41,5.4887,394690610.04,514044027.45,185747,164251.5,-21495.5,-11.5725,45.73,20.0
OPP_12: Lower-Tier States +30% Volume,volume_growth,6538,2174510366.99,2285286133.66,110775766.67,5.0943,369252555.57,480028322.24,162470,211211.0,48741.0,30.0,42.61,42.61
OPP_05: Age Low-Sensitivity to 25% (Step 2),discount_change,5774,2174510366.99,2273632521.16,99122154.17,4.5584,348984952.5,448107106.67,170984,153061.58,-17922.42,-10.4819,47.73,25.0
OPP_05: Age Low-Sensitivity to 30% (Step 1),discount_change,4992,2174510366.99,2254517191.51,80006824.52,3.6793,302143861.95,382150686.47,153853,139289.11,-14563.89,-9.4661,49.99,30.0
OPP_12: Lower-Tier States +20% Volume,volume_growth,6538,2174510366.99,2248360878.1,73850511.11,3.3962,369252555.57,443103066.68,162470,194964.0,32494.0,20.0,42.61,42.61
OPP_12: Lower-Tier States +10% Volume,volume_growth,6538,2174510366.99,2211435622.55,36925255.56,1.6981,369252555.57,406177811.13,162470,178717.0,16247.0,10.0,42.61,42.61
OPP_06: Premium Brand Cap at 30%,discount_change,3248,2174510366.99,2200968305.01,26457938.02,1.2167,255475988.53,281933926.55,111465,105389.45,-6075.55,-5.4506,39.9,30.0
OPP_04: No Festival Discount — Electronics,discount_change,972,2174510366.99,2189397753.02,14887386.03,0.6846,185664099.04,200551485.07,47351,43660.32,-3690.68,-7.7943,47.83,39.0
OPP_04: No Festival Discount — Premium Lifestyle,discount_change,948,2174510366.99,2189171741.38,14661374.39,0.6742,228074170.66,242735545.05,46013,42650.46,-3362.54,-7.3078,47.61,39.6
OPP_07: Inventory Markdown Cap at 40%,discount_change,5051,2174510366.99,2184039800.02,9529433.03,0.4382,357143132.92,366672565.95,200893,151230.31,-49662.69,-24.721,55.98,40.0
OPP_08: Remove Triple-Risk Combination,discount_change,1404,2174510366.99,2171696746.93,-2813620.06,-0.1294,131669452.58,128855832.52,77786,52772.07,-25013.93,-32.1574,56.97,37.87
OPP_11: Grocery Essentials to 25%,discount_change,2850,2174510366.99,2168938905.91,-5571461.08,-0.2562,23422005.89,17850544.81,99004,52985.72,-46018.28,-46.4812,47.52,25.0
OPP_11: Grocery Essentials to 22%,discount_change,2850,2174510366.99,2168189801.32,-6320565.67,-0.2907,23422005.89,17101440.22,99004,48823.95,-50180.05,-50.6849,47.52,22.0
OPP_11: Grocery Essentials to 20%,discount_change,2850,2174510366.99,2167672375.8,-6837991.19,-0.3145,23422005.89,16584014.7,99004,46176.45,-52827.55,-53.359,47.52,20.0
OPP_02: Electronics Mass Cap at 40%,discount_change,1556,2174510366.99,2158702867.95,-15807499.04,-0.7269,201800439.29,185992940.25,60592,41383.29,-19208.71,-31.7017,55.62,40.0
OPP_02: Electronics Mass Cap at 38%,discount_change,1556,2174510366.99,2154345251.02,-20165115.97,-0.9273,201800439.29,181635323.32,60592,39127.21,-21464.79,-35.4251,55.62,38.0
OPP_02: Electronics Mass Cap at 35%,discount_change,1556,2174510366.99,2146531723.02,-27978643.97,-1.2867,201800439.29,173821795.32,60592,35743.1,-24848.9,-41.0102,55.62,35.0
OPP_02: Electronics Mass Cap at 31%,discount_change,1556,2174510366.99,2133729760.8,-40780606.19,-1.8754,201800439.29,161019833.1,60592,31230.94,-29361.06,-48.457,55.62,31.0
OPP_03: Deep Bands Cap at 40%,discount_change,13651,2174510366.99,2110124663.46,-64385703.53,-2.9609,958349051.51,893963347.98,539930,378838.64,-161091.36,-29.8356,54.82,40.0
OPP_01: Mass Brand Cap at 40%,discount_change,12461,2174510366.99,2109811230.45,-64699136.54,-2.9753,855963079.72,791263943.18,491708,335551.48,-156156.52,-31.758,55.65,40.0
OPP_03: Deep Bands Cap at 38%,discount_change,13651,2174510366.99,2091942999.2,-82567367.79,-3.7971,958349051.51,875781683.72,539930,359070.79,-180859.21,-33.4968,54.82,38.0
OPP_01: Mass Brand Cap at 38%,discount_change,12461,2174510366.99,2091764020.72,-82746346.27,-3.8053,855963079.72,773216733.45,491708,317234.05,-174473.95,-35.4832,55.65,38.0
OPP_01: Mass Brand Cap at 35%,discount_change,12461,2174510366.99,2059319495.49,-115190871.5,-5.2973,855963079.72,740772208.22,491708,289757.9,-201950.1,-41.0711,55.65,35.0
OPP_03: Deep Bands Cap at 35%,discount_change,13651,2174510366.99,2058866417.02,-115643949.97,-5.3182,958349051.51,842705101.54,539930,329419.02,-210510.98,-38.9886,54.82,35.0
OPP_01: Mass Brand Cap at 31%,discount_change,12461,2174510366.99,2006029202.02,-168481164.97,-7.748,855963079.72,687481914.75,491708,253123.04,-238584.96,-48.5217,55.65,31.0
OPP_03: Deep Bands Cap at 31%,discount_change,13651,2174510366.99,2003930013.97,-170580353.02,-7.8445,958349051.51,787768698.49,539930,289883.33,-250046.67,-46.3109,54.82,31.0
